Time,TAPPLE_BID,TAPPLE_ASK,APPCHAT_BID,APPCHAT_ASK,BESLA_BID,BESLA_ASK,TAB_BID,TAB_ASK
125,98.74,98.78,18.96,18.98,349.07,349.13,623.83,624.07,
126,98.49,98.53,18.94,18.96,346.53,346.59,620.07,620.31,
127,98.64,98.68,18.95,18.97,344.87,344.93,619.01,619.25,
128,98.34,98.38,18.95,18.97,346.72,346.78,619.38,619.62,
129,99.27,99.31,18.87,18.89,344.75,344.81,617.86,618.10,
130,99.02,99.06,18.80,18.82,343.88,343.94,616.71,616.95,
131,98.86,98.90,18.79,18.81,343.56,343.62,615.91,616.15,
132,98.78,98.82,18.73,18.75,338.37,338.43,610.97,611.21,
133,98.75,98.79,18.76,18.78,335.12,335.18,606.81,607.05,
134,99.27,99.31,18.68,18.70,336.39,336.45,609.85,610.09,
135,99.16,99.20,18.74,18.76,336.43,336.49,610.35,610.59,
136,98.75,98.79,18.75,18.77,336.70,336.76,609.38,609.62,
137,98.88,98.92,18.83,18.85,337.73,337.79,611.38,611.62,
138,98.57,98.61,18.85,18.87,333.56,333.62,607.41,607.65,
139,98.48,98.52,18.79,18.81,335.19,335.25,610.00,610.24,
140,98.74,98.78,18.74,18.76,333.74,333.80,609.16,609.40,
141,98.85,98.89,18.71,18.73,329.85,329.91,604.38,604.62,
142,99.07,99.11,18.76,18.78,332.34,332.40,606.81,607.05,
143,99.45,99.49,18.79,18.81,330.38,330.44,604.75,604.99,
144,99.23,99.27,18.77,18.79,328.35,328.41,602.78,603.02,
145,98.89,98.93,18.71,18.73,327.08,327.14,599.83,600.07,
146,98.87,98.91,18.72,18.74,328.11,328.17,601.12,601.36,
147,98.46,98.50,18.72,18.74,326.53,326.59,598.02,598.26,
148,98.53,98.57,18.66,18.68,326.69,326.75,597.09,597.33,
149,98.52,98.56,18.72,18.74,327.52,327.58,598.23,598.47,
150,98.87,98.91,18.77,18.79,327.58,327.64,598.12,598.36,
151,98.27,98.31,18.79,18.81,327.43,327.49,595.84,596.08,
152,98.07,98.11,18.72,18.74,329.54,329.60,596.68,596.92,
153,97.97,98.01,18.71,18.73,328.58,328.64,596.28,596.52,
154,98.07,98.11,18.81,18.83,326.18,326.24,594.75,594.99,
155,97.96,98.00,18.73,18.75,326.43,326.49,594.65,594.89,
156,98.56,98.60,18.67,18.69,326.64,326.70,595.72,595.96,
157,98.83,98.87,18.68,18.70,326.49,326.55,596.84,597.08,
158,99.11,99.15,18.70,18.72,327.43,327.49,598.74,598.98,
159,98.66,98.70,18.68,18.70,327.57,327.63,598.97,599.21,
160,99.12,99.16,18.59,18.61,329.22,329.28,601.82,602.06,
161,99.26,99.30,18.62,18.64,325.51,325.57,598.09,598.33,
162,99.66,99.70,18.55,18.57,326.10,326.16,598.34,598.58,
163,100.49,100.53,18.50,18.52,324.91,324.97,598.25,598.49,
164,100.94,100.98,18.40,18.42,326.23,326.29,601.25,601.49,
165,100.55,100.59,18.41,18.43,323.51,323.57,598.40,598.64,
166,100.78,100.82,18.49,18.51,322.07,322.13,598.00,598.24,
167,100.89,100.93,18.47,18.49,318.66,318.72,594.95,595.19,
168,101.15,101.19,18.47,18.49,317.00,317.06,592.38,592.62,
169,101.57,101.61,18.46,18.48,313.11,313.17,590.93,591.17,
170,101.00,101.04,18.53,18.55,316.17,316.23,591.92,592.16,
171,101.28,101.32,18.62,18.64,313.60,313.66,590.93,591.17,
172,100.91,100.95,18.69,18.71,314.60,314.66,592.39,592.63,
173,100.62,100.66,18.69,18.71,314.87,314.93,592.04,592.28,
174,100.60,100.64,18.54,18.56,313.20,313.26,589.73,589.97,
175,100.56,100.60,18.50,18.52,309.53,309.59,587.16,587.40,
176,100.63,100.67,18.48,18.50,312.38,312.44,588.91,589.15,
177,100.44,100.48,18.38,18.40,311.81,311.87,586.72,586.96,
178,101.23,101.27,18.43,18.45,308.97,309.03,586.38,586.62,
179,101.51,101.55,18.52,18.54,305.97,306.03,582.38,582.62,
180,101.46,101.50,18.55,18.57,308.57,308.63,585.93,586.17,
181,101.73,101.77,18.57,18.59,308.52,308.58,585.70,585.94,
182,102.00,102.04,18.65,18.67,307.96,308.02,586.14,586.38,
183,102.58,102.62,18.69,18.71,308.36,308.42,588.13,588.37,
184,102.81,102.85,18.69,18.71,313.05,313.11,594.58,594.82,
185,103.15,103.19,18.83,18.85,311.93,311.99,594.64,594.88,
186,102.59,102.63,18.89,18.91,315.06,315.12,596.84,597.08,
187,102.15,102.19,18.96,18.98,314.94,315.00,596.47,596.71,
188,102.34,102.38,18.99,19.01,314.28,314.34,596.04,596.28,
189,101.99,102.03,19.01,19.03,312.96,313.02,594.61,594.85,
190,102.40,102.44,19.13,19.15,311.79,311.85,595.64,595.88,
191,103.13,103.17,19.16,19.18,311.98,312.04,597.18,597.42,
192,103.39,103.43,19.09,19.11,312.76,312.82,597.63,597.87,
193,103.57,103.61,19.05,19.07,313.65,313.71,598.85,599.09,
194,104.15,104.19,19.10,19.12,311.21,311.27,598.30,598.54,
195,104.23,104.27,19.07,19.09,312.48,312.54,599.27,599.51,
196,104.64,104.68,19.11,19.13,313.55,313.61,600.87,601.11,
197,104.82,104.86,19.16,19.18,313.46,313.52,602.10,602.34,
198,105.18,105.22,19.26,19.28,312.67,312.73,602.95,603.19,
199,104.73,104.77,19.26,19.28,312.27,312.33,601.91,602.15,
200,104.38,104.42,19.22,19.24,316.06,316.12,603.56,603.80,
201,104.62,104.66,19.21,19.23,312.98,313.04,601.22,601.46,
202,104.68,104.72,19.07,19.09,310.90,310.96,599.80,600.04,
203,104.36,104.40,19.10,19.12,311.96,312.02,600.87,601.11,
204,104.82,104.86,19.11,19.13,315.31,315.37,606.15,606.39,
205,105.04,105.08,19.17,19.19,315.40,315.46,605.35,605.59,
206,105.17,105.21,19.21,19.23,318.34,318.40,608.87,609.11,
207,104.62,104.66,19.17,19.19,316.76,316.82,605.16,605.40,
208,104.24,104.28,19.09,19.11,316.89,316.95,605.20,605.44,
209,104.35,104.39,19.14,19.16,316.01,316.07,604.11,604.35,
210,104.20,104.24,19.14,19.16,311.04,311.10,598.44,598.68,
211,104.23,104.27,19.09,19.11,308.96,309.02,597.13,597.37,
212,104.42,104.46,19.09,19.11,310.28,310.34,597.86,598.10,
213,104.23,104.27,19.13,19.15,310.20,310.26,597.73,597.97,
214,104.48,104.52,19.14,19.16,310.41,310.47,598.98,599.22,
215,104.34,104.38,19.05,19.07,309.08,309.14,596.88,597.12,
216,104.31,104.35,19.03,19.05,308.13,308.19,596.00,596.24,
217,104.30,104.34,19.02,19.04,311.27,311.33,599.15,599.39,
218,103.70,103.74,19.09,19.11,310.55,310.61,597.90,598.14,
219,103.49,103.53,19.13,19.15,308.45,308.51,595.38,595.62,
220,103.88,103.92,19.13,19.15,306.77,306.83,592.83,593.07,
221,103.72,103.76,19.20,19.22,305.74,305.80,590.01,590.25,
222,104.31,104.35,19.20,19.22,305.08,305.14,590.79,591.03,
223,104.79,104.83,19.15,19.17,301.44,301.50,588.45,588.69,
224,104.88,104.92,19.06,19.08,300.92,300.98,588.50,588.74,
225,105.48,105.52,19.12,19.14,301.75,301.81,592.45,592.69,
226,105.95,105.99,19.16,19.18,300.73,300.79,591.92,592.16,
227,105.39,105.43,19.25,19.27,298.32,298.38,587.60,587.84,
228,105.25,105.29,19.19,19.21,293.85,293.91,581.56,581.80,
229,104.93,104.97,19.19,19.21,295.11,295.17,581.32,581.56,
230,103.91,103.95,19.16,19.18,293.95,294.01,576.75,576.99,
231,103.98,104.02,19.09,19.11,291.46,291.52,574.44,574.68,
232,104.45,104.49,18.98,19.00,289.73,289.79,573.09,573.33,
233,104.00,104.04,18.96,18.98,289.80,289.86,573.16,573.40,
234,104.23,104.27,18.95,18.97,290.80,290.86,574.35,574.59,
235,104.08,104.12,18.91,18.93,291.72,291.78,573.79,574.03,
236,104.43,104.47,18.94,18.96,288.71,288.77,572.26,572.50,
237,103.98,104.02,18.96,18.98,288.77,288.83,570.96,571.20,
238,104.56,104.60,19.00,19.02,290.61,290.67,572.87,573.11,
239,104.57,104.61,18.90,18.92,290.70,290.76,571.82,572.06,
240,105.38,105.42,18.80,18.82,292.85,292.91,575.16,575.40,
241,105.69,105.73,18.87,18.89,294.67,294.73,577.99,578.23,
242,105.71,105.75,18.85,18.87,294.99,295.05,578.50,578.74,
243,104.89,104.93,18.75,18.77,293.85,293.91,574.98,575.22,
244,105.02,105.06,18.68,18.70,293.17,293.23,574.11,574.35,
245,104.85,104.89,18.80,18.82,292.56,292.62,573.37,573.61,
246,104.47,104.51,18.75,18.77,292.84,292.90,572.60,572.84,
247,103.97,104.01,18.79,18.81,295.57,295.63,574.22,574.46,
248,103.35,103.39,18.76,18.78,298.21,298.27,574.85,575.09,
249,103.19,103.23,18.78,18.80,298.32,298.38,575.52,575.76,
250,102.91,102.95,18.92,18.94,299.87,299.93,576.87,577.11,
251,102.72,102.76,18.98,19.00,300.10,300.16,578.07,578.31,
252,102.59,102.63,18.95,18.97,298.62,298.68,576.92,577.16,
253,102.20,102.24,18.92,18.94,301.23,301.29,578.99,579.23,
254,102.11,102.15,18.96,18.98,304.46,304.52,582.76,583.00,
255,102.08,102.12,18.93,18.95,304.12,304.18,580.78,581.02,
256,102.55,102.59,18.92,18.94,303.28,303.34,581.54,581.78,
257,102.66,102.70,18.88,18.90,300.38,300.44,577.95,578.19,
258,102.99,103.03,18.91,18.93,304.21,304.27,582.53,582.77,
259,102.62,102.66,18.89,18.91,306.79,306.85,585.63,585.87,
260,101.81,101.85,18.89,18.91,307.45,307.51,584.29,584.53,
261,101.73,101.77,18.90,18.92,309.79,309.85,583.94,584.18,
262,101.63,101.67,19.03,19.05,311.50,311.56,584.91,585.15,
263,101.28,101.32,18.94,18.96,314.91,314.97,589.22,589.46,
264,101.74,101.78,18.94,18.96,317.42,317.48,594.01,594.25,
265,101.92,101.96,18.98,19.00,318.80,318.86,594.45,594.69,
266,102.01,102.05,18.91,18.93,320.36,320.42,597.02,597.26,
267,101.90,101.94,18.86,18.88,322.91,322.97,601.25,601.49,
268,101.94,101.98,18.89,18.91,322.36,322.42,601.36,601.60,
269,102.17,102.21,18.97,18.99,322.39,322.45,603.75,603.99,
270,102.55,102.59,19.05,19.07,322.03,322.09,606.10,606.34,
271,103.15,103.19,19.07,19.09,321.17,321.23,606.00,606.24,
272,103.72,103.76,19.13,19.15,323.51,323.57,609.47,609.71,
273,104.51,104.55,19.17,19.19,320.98,321.04,608.28,608.52,
274,104.70,104.74,19.14,19.16,321.27,321.33,608.54,608.78,
275,104.88,104.92,19.01,19.03,321.17,321.23,607.44,607.68,
276,104.82,104.86,19.03,19.05,318.81,318.87,605.90,606.14,
277,104.44,104.48,19.02,19.04,319.39,319.45,605.75,605.99,
278,104.68,104.72,18.97,18.99,317.75,317.81,604.89,605.13,
279,103.96,104.00,18.98,19.00,316.68,316.74,602.91,603.15,
280,103.48,103.52,18.94,18.96,318.71,318.77,602.33,602.57,
281,104.16,104.20,18.92,18.94,319.40,319.46,604.68,604.92,
282,103.98,104.02,19.04,19.06,320.91,320.97,604.57,604.81,
283,103.45,103.49,19.06,19.08,321.56,321.62,604.91,605.15,
284,103.93,103.97,19.12,19.14,321.33,321.39,604.88,605.12,
285,103.54,103.58,19.16,19.18,319.78,319.84,602.32,602.56,
286,103.16,103.20,19.13,19.15,316.10,316.16,597.02,597.26,
287,103.20,103.24,19.14,19.16,312.92,312.98,594.37,594.61,
288,102.35,102.39,19.07,19.09,313.80,313.86,592.54,592.78,
289,102.66,102.70,19.03,19.05,313.76,313.82,594.51,594.75,
290,102.40,102.44,19.11,19.13,314.97,315.03,595.57,595.81,
291,102.91,102.95,19.01,19.03,311.31,311.37,592.24,592.48,
292,103.12,103.16,18.94,18.96,309.24,309.30,589.79,590.03,
293,103.85,103.89,18.91,18.93,309.57,309.63,592.61,592.85,
294,103.50,103.54,18.93,18.95,310.80,310.86,592.78,593.02,
295,104.30,104.34,18.97,18.99,312.77,312.83,596.40,596.64,
296,104.29,104.33,18.92,18.94,315.07,315.13,598.94,599.18,
297,104.37,104.41,18.90,18.92,315.42,315.48,599.01,599.25,
298,104.35,104.39,18.85,18.87,319.61,319.67,603.42,603.66,
299,104.68,104.72,18.80,18.82,321.13,321.19,605.88,606.12,
300,105.05,105.09,18.82,18.84,325.85,325.91,610.48,610.72,
301,105.77,105.81,18.88,18.90,326.09,326.15,614.90,615.14,
302,106.21,106.25,18.89,18.91,324.63,324.69,614.01,614.25,
303,106.28,106.32,18.96,18.98,326.98,327.04,617.45,617.69,
304,106.06,106.10,18.99,19.01,331.74,331.80,621.82,622.06,
305,105.45,105.49,18.84,18.86,332.94,333.00,621.04,621.28,
306,105.20,105.24,18.87,18.89,333.97,334.03,622.09,622.33,
307,104.85,104.89,18.84,18.86,333.95,334.01,620.56,620.80,
308,104.32,104.36,18.86,18.88,333.22,333.28,618.93,619.17,
309,104.35,104.39,18.90,18.92,330.77,330.83,616.82,617.06,
310,103.20,103.24,19.06,19.08,329.18,329.24,612.36,612.60,
311,103.77,103.81,19.06,19.08,328.79,328.85,613.43,613.67,
312,103.24,103.28,19.00,19.02,331.08,331.14,614.04,614.28,
313,103.50,103.54,19.05,19.07,330.06,330.12,614.63,614.87,
314,103.57,103.61,19.01,19.03,334.19,334.25,617.74,617.98,
315,103.77,103.81,19.07,19.09,334.30,334.36,619.94,620.18,
316,104.18,104.22,19.10,19.12,335.73,335.79,621.52,621.76,
317,104.09,104.13,19.15,19.17,335.51,335.57,620.59,620.83,
318,103.79,103.83,19.02,19.04,335.32,335.38,618.36,618.60,
319,103.98,104.02,19.01,19.03,336.36,336.42,618.79,619.03,
320,104.53,104.57,19.00,19.02,338.39,338.45,621.72,621.96,
321,105.30,105.34,18.96,18.98,340.23,340.29,626.19,626.43,
322,104.95,104.99,19.02,19.04,339.44,339.50,625.26,625.50,
323,105.34,105.38,19.00,19.02,334.80,334.86,620.71,620.95,
324,105.96,106.00,18.90,18.92,330.27,330.33,616.13,616.37,
325,106.84,106.88,18.99,19.01,329.27,329.33,616.67,616.91,
326,107.43,107.47,18.95,18.97,329.09,329.15,617.59,617.83,
327,107.63,107.67,19.02,19.04,332.59,332.65,622.75,622.99,
328,107.14,107.18,19.08,19.10,331.90,331.96,622.10,622.34,
329,107.21,107.25,19.13,19.15,334.16,334.22,624.80,625.04,
330,107.15,107.19,19.11,19.13,333.40,333.46,624.59,624.83,
331,107.23,107.27,19.12,19.14,337.17,337.23,628.66,628.90,
332,106.92,106.96,19.08,19.10,334.67,334.73,624.21,624.45,
333,107.03,107.07,19.01,19.03,333.76,333.82,623.57,623.81,
334,107.51,107.55,19.01,19.03,335.40,335.46,626.29,626.53,
335,108.08,108.12,18.95,18.97,332.40,332.46,622.69,622.93,
336,108.10,108.14,18.88,18.90,332.92,332.98,623.50,623.74,
337,107.81,107.85,18.88,18.90,330.72,330.78,621.73,621.97,
338,108.11,108.15,18.91,18.93,326.73,326.79,618.70,618.94,
339,108.37,108.41,18.96,18.98,325.42,325.48,618.30,618.54,
340,107.87,107.91,19.05,19.07,330.91,330.97,622.44,622.68,
341,108.43,108.47,19.10,19.12,327.99,328.05,620.39,620.63,
342,109.17,109.21,19.14,19.16,329.04,329.10,622.17,622.41,
343,108.60,108.64,19.10,19.12,329.31,329.37,621.47,621.71,
344,108.98,109.02,19.15,19.17,332.26,332.32,625.69,625.93,
345,108.82,108.86,19.16,19.18,329.55,329.61,622.92,623.16,
346,109.01,109.05,19.14,19.16,329.02,329.08,621.35,621.59,
347,109.29,109.33,19.14,19.16,329.66,329.72,622.48,622.72,
348,109.82,109.86,19.26,19.28,329.62,329.68,623.71,623.95,
349,109.70,109.74,19.30,19.32,328.57,328.63,622.47,622.71,
350,110.10,110.14,19.27,19.29,327.28,327.34,621.91,622.15,
351,110.43,110.47,19.27,19.29,326.29,326.35,623.35,623.59,
352,110.00,110.04,19.29,19.31,325.98,326.04,621.81,622.05,
353,110.24,110.28,19.35,19.37,328.06,328.12,624.99,625.23,
354,110.17,110.21,19.30,19.32,328.09,328.15,626.11,626.35,
355,110.51,110.55,19.21,19.23,327.47,327.53,625.80,626.04,
356,110.88,110.92,19.29,19.31,326.90,326.96,626.22,626.46,
357,110.82,110.86,19.29,19.31,324.27,324.33,624.08,624.32,
358,110.95,110.99,19.34,19.36,320.78,320.84,620.71,620.95,
359,111.29,111.33,19.37,19.39,322.61,322.67,623.38,623.62,
360,111.92,111.96,19.37,19.39,322.27,322.33,623.80,624.04,
361,111.49,111.53,19.37,19.39,321.03,321.09,621.76,622.00,
362,111.09,111.13,19.26,19.28,322.19,322.25,621.20,621.44,
363,111.42,111.46,19.15,19.17,319.71,319.77,618.32,618.56,
364,111.82,111.86,19.12,19.14,322.00,322.06,620.40,620.64,
365,110.95,110.99,19.12,19.14,323.27,323.33,620.21,620.45,
366,111.19,111.23,19.13,19.15,321.31,321.37,620.53,620.77,
367,110.55,110.59,19.13,19.15,322.16,322.22,621.89,622.13,
368,110.58,110.62,19.14,19.16,320.36,320.42,618.70,618.94,
369,110.38,110.42,19.12,19.14,319.29,319.35,617.21,617.45,
370,110.69,110.73,19.15,19.17,321.49,321.55,619.82,620.06,
371,111.06,111.10,19.03,19.05,319.93,319.99,618.82,619.06,
372,111.00,111.04,19.03,19.05,318.72,318.78,618.02,618.26,
373,110.32,110.36,19.05,19.07,321.03,321.09,618.79,619.03,
374,109.94,109.98,19.06,19.08,322.74,322.80,619.60,619.84,
375,110.10,110.14,19.10,19.12,324.87,324.93,622.01,622.25,
376,109.81,109.85,19.23,19.25,324.96,325.02,622.83,623.07,
377,110.23,110.27,19.28,19.30,323.03,323.09,622.16,622.40,
378,109.83,109.87,19.41,19.43,322.39,322.45,620.14,620.38,
379,110.00,110.04,19.37,19.39,319.22,319.28,616.90,617.14,
380,109.60,109.64,19.27,19.29,316.88,316.94,613.33,613.57,
381,109.85,109.89,19.34,19.36,314.93,314.99,611.80,612.04,
382,110.12,110.16,19.28,19.30,315.27,315.33,612.59,612.83,
383,110.45,110.49,19.37,19.39,313.86,313.92,611.23,611.47,
384,110.50,110.54,19.37,19.39,312.47,312.53,610.00,610.24,
385,110.75,110.79,19.39,19.41,311.75,311.81,610.81,611.05,
386,111.86,111.90,19.42,19.44,307.82,307.88,610.03,610.27,
387,110.96,111.00,19.51,19.53,307.64,307.70,608.54,608.78,
388,111.51,111.55,19.59,19.61,304.15,304.21,606.47,606.71,
389,111.31,111.35,19.62,19.64,304.44,304.50,606.62,606.86,
390,112.18,112.22,19.57,19.59,303.62,303.68,607.73,607.97,
391,112.55,112.59,19.58,19.60,304.18,304.24,608.79,609.03,
392,113.10,113.14,19.69,19.71,305.45,305.51,611.33,611.57,
393,113.30,113.34,19.66,19.68,304.99,305.05,610.97,611.21,
394,113.34,113.38,19.68,19.70,306.27,306.33,611.97,612.21,
